titre;nationalité;sortie;entrées (millions)
SAN ANDREAS;ETATS UNIS;27/05/2015;1151362
TED 2;ETATS UNIS;05/08/2015;1143896
IMITATION GAME;GRANDE BRETAGNE / ETATS UNIS;28/01/2015;1088829
SHAUN LE MOUTON;GRANDE BRETAGNE;01/04/2015;1063446
SOUVENIRS (LES);FRANCE / BELGIQUE;14/01/2015;1062983
MARGUERITE;FRANCE / REPUBLIQUE TCHEQUE/ BELGIQUE;16/09/2015;1008223
QU'EST-CE QU'ON A FAIT AU BON DIEU ?;FRANCE;16/04/2014;12343201
SUPERCONDRIAQUE;FRANCE;26/02/2014;5271006
LUCY;FRANCE;06/08/2014;5200285
LE HOBBIT : LA BATAILLE DES CINQ ARMÉES ;NOUVELLE ZELANDE;10/12/2014;4072690
LA PLANETE DES SINGES : L'AFFRONTEMENT ;ETATS-UNIS;30/07/2014;3780627
DRAGONS 2;ETATS-UNIS;02/07/2014;3376908
X-MEN : DAY OF FUTURE PAST;ETATS-UNIS;21/05/2014;3283332
RIO 2;ETATS-UNIS;09/04/2014;3263275
SAMBA;FRANCE;15/10/2014;3149911
LE LABYRINTHE ;ETATS-UNIS;15/10/2014;3129710
HUNGER GAMES - LA RÉVOLTE PARTIE 1;ETATS-UNIS;19/11/2014;3124933
ASTÉRIX ET LE DOMAINE DES DIEUX;FRANCE;26/11/2014;2679728
INTERSTELLAR;ETATS-UNIS;05/11/2014;2575268
LES VACANCES DU PETIT NICOLAS ;FRANCE;09/07/2014;2411218
BABYSITTING;FRANCE;16/04/2014;2358161
LA FAMILLE BÉLIER ;FRANCE;17/12/2014;2348021
LES GARDIENS DE LA GALAXIE ;ETATS-UNIS;13/08/2014;2337377
TRANSFORMERS : L'ÂGE DE L'EXTINCTION;ETATS-UNIS;16/07/2014;2335956
THE AMAZING SPIDER-MAN : LE DESTIN D'UN HÉROS;ETATS-UNIS;30/04/2014;2309088
LES TROIS FRÈRES, LE RETOUR ;FRANCE;12/02/2014;2243586
PADDINGTON;FRANCE;03/12/2014;2204696
LE LOUP DE WALL STREET ;ETATS-UNIS;25/12/2013;2003929
MALÉFIQUE;ETATS-UNIS;28/05/2014;2003537
FISTON;FRANCE;12/03/2014;1930201
GONE GIRL;ETATS-UNIS;08/10/2014;1910838
CAPTAIN AMERICA : LE SOLDAT DE L'HIVER;ETATS-UNIS;26/03/2014;1880153
LA BELLE ET LA BÊTE ;FRANCE;12/02/2014;1827555
NINJA TURTLES;ETATS-UNIS;15/10/2014;1785821
12 YEARS A SLAVE;ETATS-UNIS;22/01/2014;1713834
YVES SAINT LAURENT;FRANCE;08/01/2014;1645231
BARBECUE;FRANCE;30/04/2014;1613920
LES PINGOUINS DE MADAGASCAR ;ETATS-UNIS;17/12/2014;1594502
300 : LA NAISSANCE D'UN EMPIRE;ETATS-UNIS;05/03/2014;1562138
ANNABELLE;ETATS-UNIS;08/10/2014;1542856
LA GRANDE AVENTURE LEGO ;ETATS-UNIS;19/02/2014;1537495
MINUSCULE, LA VALLÉE DES FOURMIS PERDUES;FRANCE;29/01/2014;1499083
